,index,Neighbourhood
0,Wychwood,50
1,Trinity-Bellwoods,50
2,North St.James Town,50
3,Oakwood Village,50
4,Palmerston-Little Italy,50
5,Playter Estates-Danforth,50
6,Regent Park,50
7,Roncesvalles,50
8,Danforth,50
9,Church-Yonge Corridor,50
10,University,50
11,Niagara,50
12,Waterfront Communities-The Island,50
13,Forest Hill South,50
14,Casa Loma,50
15,Woodbine Corridor,50
16,Annex,50
17,Cabbagetown-South St.James Town,50
18,Bay Street Corridor,50
19,Greenwood-Coxwell,50
20,North Riverdale,50
21,Blake-Jones,50
22,Kensington-Chinatown,50
23,Moss Park,50
24,Dufferin Grove,50
25,Dovercourt-Wallace Emerson-Junction,50
26,Little Portugal,50
27,Corso Italia-Davenport,49
28,Mount Pleasant East,48
29,Danforth East York,47
30,Mount Pleasant West,47
31,Rosedale-Moore Park,46
32,Lawrence Park South,46
33,Junction Area,46
34,Weston-Pellam Park,45
35,Old East York,45
36,Broadview North,44
37,Caledonia-Fairbank,43
38,High Park North,43
39,Yonge-Eglinton,41
40,East End-Danforth,40
41,Humewood-Cedarvale,40
42,Woodbine-Lumsden,38
43,The Beaches,37
44,Taylor-Massey,36
45,South Parkdale,35
46,Briar Hill-Belgravia,33
47,Keelesdale-Eglinton West,33
48,Yonge-St.Clair,30
49,Rustic,30
50,Willowdale East,29
51,Englemount-Lawrence,29
52,Dorset Park,28
53,Mount Dennis,28
54,Runnymede-Bloor West Village,28
55,Weston,28
56,Forest Hill North,28
57,Newtonbrook West,27
58,High Park-Swansea,27
59,Oakridge,27
60,Wexford/Maryvale,26
61,Yorkdale-Glen Park,26
62,Brookhaven-Amesbury,25
63,Lambton Baby Point,25
64,Willowdale West,25
65,Beechborough-Greenbrook,25
66,Ionview,25
67,Mimico,25
68,New Toronto,25
69,Bedford Park-Nortown,24
70,Leaside-Bennington,24
71,West Hill,23
72,O'Connor-Parkview,23
73,Humber Heights-Westmount,22
74,Alderwood,22
75,Pleasant View,22
76,Bendale,21
77,Eglinton East,21
78,York University Heights,21
79,Rockcliffe-Smythe,20
80,Woburn,20
81,Rexdale-Kipling,20
82,Tam O'Shanter-Sullivan,20
83,Lawrence Park North,19
84,Kingsway South,18
85,Lansing-Westgate,18
86,Newtonbrook East,18
87,Islington-City Centre West,18
88,Banbury-Don Mills,18
89,Elms-Old Rexdale,17
90,Westminster-Branson,17
91,Long Branch,17
92,Stonegate-Queensway,17
93,Kennedy Park,16
94,Downsview-Roding-CFB,16
95,Mount Olive-Silverstone-Jamestown,16
96,Parkwoods-Donalda,15
97,Henry Farm,15
98,Bathurst Manor,15
99,Humbermede,15
100,Black Creek,14
101,Agincourt South-Malvern West,14
102,Highland Creek,14
103,Thorncliffe Park,14
104,Clairlea-Birchmount,14
105,Thistletown-Beaumond Heights,13
106,Flemingdon Park,13
107,South Riverdale,13
108,Clanton Park,13
109,Birchcliffe-Cliffside,12
110,Maple Leaf,12
111,Humber Summit,12
112,Etobicoke West Mall,11
113,L'Amoreaux,11
114,Markland Wood,11
115,Milliken,11
116,Pelmo Park-Humberlea,11
117,Scarborough Village,11
118,Steeles,10
119,Kingsview Village-The Westway,10
120,Guildwood,10
121,Agincourt North,10
122,Eringate-Centennial-West Deane,8
123,Malvern,8
124,St.Andrew-Windfields,8
125,Victoria Village,8
126,Centennial Scarborough,8
127,Hillcrest Village,7
128,Morningside,7
129,Don Valley Village,7
130,Willowridge-Martingrove-Richview,7
131,West Humber-Clairville,6
132,Bridle Path-Sunnybrook-York Mills,6
133,Glenfield-Jane Heights,6
134,Cliffcrest,6
135,Edenbridge-Humber Valley,4
136,Bayview Village,3
137,Princess-Rosethorn,3
138,Bayview Woods-Steeles,2
139,Rouge,2
